dataset lambda r-value error cluster
r 25 5 5 2100.50493348
r 25 10 6 2050.50765941
r 25 15 9 1970.12040347
r 25 20 832 1611.02137684
r 25 25 7239 450.085484642
r 25 30 9403 93.6066443578
mr 25 5 13 2010.99852946
mr 25 10 19 1986.85585173
mr 25 15 20 1973.00193303
mr 25 20 827 1512.96155085
mr 25 25 6849 272.831730935
mr 25 30 8670 114.208585358
r 50 5 5 4102.53640259
r 50 10 5 4102.53640259
r 50 15 6 4008.84791787
r 50 20 6 4008.84791787
r 50 25 7 3917.88561891
r 50 30 11 3829.17399566
mr 50 5 13 3894.31221562
mr 50 10 13 3894.31221562
mr 50 15 13 3894.31221562
mr 50 20 20 3850.62003927
mr 50 25 20 3850.62003927
mr 50 30 21 3827.89756196
r 75 5 5 5920.00930351
r 75 10 5 5920.00930351
r 75 15 5 5920.00930351
r 75 20 5 5920.00930351
r 75 25 6 5795.49902108
r 75 30 10 5661.24645645
mr 75 5 13 5610.23269606
mr 75 10 13 5610.23269606
mr 75 15 13 5610.23269606
mr 75 20 13 5610.23269606
mr 75 25 13 5610.23269606
mr 75 30 20 5547.93550678
